ID,TIME,AMT,DV,EVID,MDV,CMT,BQL,AGE
190,59.9,.,.,2,1,-1,0,4
190,59.9,.,0,2,1,1,0,4
191,0,1,.,1,1,1,0,4
191,59.9,.,.,2,1,-1,0,4
191,59.9,.,0,2,1,1,0,4
192,0,1,.,1,1,1,0,4
192,59.9,.,.,2,1,-1,0,4
192,59.9,.,0,2,1,1,0,4
193,0,1,.,1,1,1,0,4
193,59.9,.,.,2,1,-1,0,4
193,59.9,.,0,2,1,1,0,4
194,0,1,.,1,1,1,0,4
194,59.9,.,.,2,1,-1,0,4
194,59.9,.,0,2,1,1,0,4
195,0,1,.,1,1,1,0,5
195,59.9,.,.,2,1,-1,0,5
195,59.9,.,0,2,1,1,0,5
195,60,.,7.35,0,0,2,0,5
196,0,1,.,1,1,1,1,5
196,59.9,.,.,2,1,-1,1,5
196,59.9,.,0,2,1,1,1,5
196,60,.,31.4,0,0,2,1,5
197,0,1,.,1,1,1,0,5
197,59.9,.,.,2,1,-1,0,5
197,59.9,.,0,2,1,1,0,5
197,60,.,11.7,0,0,2,0,5
198,0,1,.,1,1,1,0,5
198,59.9,.,.,2,1,-1,0,5
198,59.9,.,0,2,1,1,0,5
198,120,.,3.27,0,0,2,0,5
199,0,1,.,1,1,1,0,5
199,59.9,.,.,2,1,-1,0,5
199,59.9,.,0,2,1,1,0,5
199,120,.,2.59,0,0,2,0,5
200,0,1,.,1,1,1,0,5
200,59.9,.,.,2,1,-1,0,5
200,59.9,.,0,2,1,1,0,5
200,120,.,3.16,0,0,2,0,5
201,0,1,.,1,1,1,0,5
201,59.9,.,.,2,1,-1,0,5
201,59.9,.,0,2,1,1,0,5
201,180,.,0.356,0,0,2,0,5
202,0,1,.,1,1,1,1,5
202,59.9,.,.,2,1,-1,1,5
202,59.9,.,0,2,1,1,1,5
202,180,.,38.5,0,0,2,1,5
203,0,1,.,1,1,1,0,5
203,59.9,.,.,2,1,-1,0,5
203,59.9,.,0,2,1,1,0,5
203,180,.,1.21,0,0,2,0,5
204,0,1,.,1,1,1,0,5
204,59.9,.,.,2,1,-1,0,5
204,59.9,.,0,2,1,1,0,5
