ID,REPL,TIME,EVID,DV,RIF,INH,EMB,PZA,SM,PAS,EXPR,PH,THRP,LOQ,AGR,NDV,EVIDLQ,NATG,IDEXPR,PLOT
28,2,2,0,10.73,.,.,.,.,.,.,2,7,1,0,0,45524.23042,0,0,13,11
28,2,3,0,9.59,.,.,.,.,.,.,2,7,1,0,0,14544.96261,0,0,13,11
28,2,6,0,6.42,.,.,.,.,.,.,2,7,1,0,0,613.0827999,0,0,13,11
29,2,0,0,13.19,0.125,0,0,0,0,0,2,7,1,0,0,532852.5376,0,0,14,12
29,2,1,0,11.68,.,.,.,.,.,.,2,7,1,0,0,117948.1028,0,0,14,12
29,2,2,0,10.28,.,.,.,.,.,.,2,7,1,0,0,29202.21963,0,0,14,12
29,2,3,0,8.98,.,.,.,.,.,.,2,7,1,0,0,7922.008095,0,0,14,12
29,2,6,0,5.35,.,.,.,.,.,.,2,7,1,0,0,210.9666365,0,0,14,12
30,2,0,0,13.19,0.5,0,0,0,0,0,2,7,1,0,0,532852.5376,0,0,15,13
30,2,1,0,11.35,.,.,.,.,.,.,2,7,1,0,0,85135.55246,0,0,15,13
30,2,2,0,9.53,.,.,.,.,.,.,2,7,1,0,0,13816.24013,0,0,15,13
30,2,3,0,7.73,.,.,.,.,.,.,2,7,1,0,0,2279.474015,0,0,15,13
30,2,6,0,2.41,.,.,.,.,.,.,2,7,1,0,0,11.14844471,0,0,15,13
31,2,0,0,13.19,2,0,0,0,0,0,2,7,1,0,0,532852.5376,0,0,16,14
31,2,1,0,11.22,.,.,.,.,.,.,2,7,1,0,0,74757.13962,0,0,16,14
31,2,2,0,9.26,.,.,.,.,.,.,2,7,1,0,0,10489.18494,0,0,16,14
31,2,3,0,7.29,.,.,.,.,.,.,2,7,1,0,0,1471.739039,0,0,16,14
31,2,6,0,1.40,.,.,.,.,.,.,2,7,1,0,0,4.066570438,0,0,16,14
32,2,0,0,13.19,8,0,0,0,0,0,2,7,1,0,0,532852.5376,0,0,17,15
32,2,1,0,11.21,.,.,.,.,.,.,2,7,1,0,0,74161.46836,0,0,17,15
32,2,2,0,9.24,.,.,.,.,.,.,2,7,1,0,0,10311.34475,0,0,17,15
